五十音|ヒエログリフ|文字コード
---|---|---
あ|𓄿|1313F
い|𓇌|131CC
う|𓅱|13171
え|𓇋|131CB
お|𓍯|1336F
か|𓎡𓄿|133A1　1313F
き|𓎡𓇌|133A1　131CC
く|𓎡𓅱|133A1　13171
け|𓎡 𓇋|133A1　131CB
こ|𓎡𓍯|133A1　1336F
さ|𓋴𓄿|132F4　1313F
し|𓐚𓇌|1341A　131CC
す|𓋴𓅱|132F4　13171
せ|𓋴𓇋|132F4　131CB
そ|𓋴𓍯|132F4　1336F
た|𓏏𓄿|133CF　1313F
ち|𓍿𓇌|1337F　131CC
つ|𓏏𓅱|133CF　13171
て|𓏏𓇋|133CF　131CB
と|𓏏𓍯|133CF　1336F
な|𓈖𓄿|13216　1313F
に|𓈖𓇌|13216　131CC
ぬ|𓈖𓅱|13216　13171
ね|𓈖𓇋|13216　131CB
の|𓈖𓍯|13216　1336F
は|𓉔𓄿|13254　1313F
ひ|𓉔𓇌|13254　131CC
ふ|𓆑𓅱|13191　13171
へ|𓉔𓇋|13254　131CB
ほ|𓉔𓍯|13254　1336F
ま|𓅓𓄿|13153　1313F
み|𓅓𓇌|13153　131CC
む|𓅓𓅱|13153　13171
め|𓅓𓇋|13153　131CB
も|𓅓𓍯|13153　1336F
ら|𓂋𓄿|1308B　1313F
り|𓂋𓇌|1308B　131CC
る|𓂋𓅱|1308B　13171
れ|𓂋𓇋|1308B　131CB
ろ|𓂋𓍯|1308B　1336F
や|𓇌𓄿|131CC　1313F
ゆ|𓇌𓅱|131CC　13171
よ|𓇌𓍯|131CC　1336F
わ|𓅱𓄿|13171　1313F
を|𓍯|1336F
ん|𓈖|13216
が|𓎼𓄿|133BC　1313F
ぎ|𓎼𓇌|133BC　131CC
ぐ|𓎼𓅱|133BC　13171
げ|𓎼𓇋|133BC　131CB
ご|𓎼𓍯|133BC　1336F
ざ|𓊃𓄿|13283　1313F
じ|𓆓𓇌|13193　131CC
ず|𓊃𓅱|13283　13171
ぜ|𓊃𓇋|13283　131CB
ぞ|𓊃𓍯|13283　1336F
だ|𓂩𓄿|130A9　1313F
ぢ|𓆓𓇌|13193　131CC
づ|𓂩𓅱|130A9　13171
で|𓂩𓇋|130A9　131CB
ど|𓂩𓍯|130A9　1336F
ば|𓃀𓄿|130C0　1313F
び|𓃀𓇌|130C0　131CC
ぶ|𓃀𓅱|130C0　13171
べ|𓃀𓇋|130C0　131CB
ぼ|𓃀𓍯|130C0　1336F
ぱ|𓊪𓄿|132AA 　1313F
ぴ|𓊪𓇌|132AA 　131CC
ぷ|𓊪𓅱|132AA 　13171
ぺ|𓊪𓇋|132AA 　131CB
ぽ|𓊪𓍯|132AA 　1336F
